id,c_pais,descripcion,nacionalidad
pais_diot1,AFG,Afganistán,
pais_diot2,ALB,Albania,
pais_diot3,DEU,Alemania,
pais_diot4,AND,Andorra,
pais_diot5,AGO,Angola,
pais_diot6,AIA,Anguila,
pais_diot7,ATA,Antártida,
pais_diot8,ATG,Antigua y Barbuda,
pais_diot9,SAU,Arabia Saudita,
pais_diot10,DZA,Argelia,
pais_diot11,ARG,Argentina,
pais_diot12,ARM,Armenia,
pais_diot13,ABW,Aruba,
pais_diot14,AUS,Australia,Australiano
pais_diot15,AUT,Austria,
pais_diot16,AZE,Azerbaiyán,
pais_diot17,BHS,Bahamas (las),
pais_diot18,BGD,Bangladés,
pais_diot19,BRB,Barbados,
pais_diot20,BHR,Baréin,
pais_diot21,BEL,Bélgica,
pais_diot22,BLZ,Belice,
pais_diot23,BEN,Benín,
pais_diot24,BMU,Bermudas,
pais_diot25,BLR,Bielorrusia,
pais_diot26,BOL,"Bolivia, Estado Plurinacional de",
pais_diot27,BES,"Bonaire, San Eustaquio y Saba",
pais_diot28,BIH,Bosnia y Herzegovina,
pais_diot29,BWA,Botsuana,
pais_diot30,BRA,Brasil,
pais_diot31,BRN,Brunéi Darussalam,
pais_diot32,BGR,Bulgaria,
pais_diot33,BFA,Burkina Faso,
pais_diot34,BDI,Burundi,
pais_diot35,BTN,Bután,
pais_diot39,CPV,Cabo Verde,
pais_diot37,KHM,Camboya,
pais_diot38,CMR,Camerún,
pais_diot36,CAN,Canadá,Canadiense
pais_diot40,QAT,Catar,
pais_diot41,TCD,Chad,
pais_diot42,CHL,Chile,
pais_diot43,CHN,China,
pais_diot44,CYP,Chipre,
pais_diot45,COL,Colombia,
pais_diot46,COM,Comoras,
pais_diot47,COG,Congo,
pais_diot48,COD,Congo (la República Democrática del),
pais_diot49,KOR,Corea (la República de),
pais_diot50,PRK,"Corea (la República Democrática Popular
de)",
pais_diot51,CRI,Costa Rica,
pais_diot52,CIV,Côte d'Ivoire,
pais_diot53,HRV,Croacia,
pais_diot54,CUB,Cuba,
pais_diot55,CUW,Curaçao,
pais_diot56,DNK,Dinamarca,
pais_diot57,DMA,Dominica,
pais_diot58,ECU,Ecuador,
pais_diot59,EGY,Egipto,
pais_diot60,SLV,El Salvador,
pais_diot61,ARE,Emiratos Árabes Unidos (Los),
pais_diot62,ERI,Eritrea,
pais_diot63,SVK,Eslovaquia,
pais_diot64,SVN,Eslovenia,
pais_diot66,ESP,España,
pais_diot222,USA,Estados Unidos (los),Estadounidense
pais_diot67,EST,Estonia,
pais_diot68,ETH,Etiopía,
pais_diot69,PHL,Filipinas (las),
pais_diot70,FIN,Finlandia,
pais_diot71,FJI,Fiyi,
pais_diot72,FRA,Francia,
pais_diot73,GAB,Gabón,
pais_diot74,GMB,Gambia (La),
pais_diot75,GEO,Georgia,
pais_diot76,SGS,"Georgia del sur y las islas sandwich del
sur",
pais_diot77,GHA,Ghana,
pais_diot78,GIB,Gibraltar,
pais_diot79,GRD,Granada,
pais_diot80,GRC,Grecia,
pais_diot81,GRL,Groenlandia,
pais_diot82,GLP,Guadalupe,
pais_diot83,GUM,Guam,
pais_diot84,GTM,Guatemala,
pais_diot85,GUF,Guayana Francesa,
pais_diot86,GGY,Guernsey,
pais_diot87,GIN,Guinea,
pais_diot88,GNQ,Guinea Ecuatorial,
pais_diot89,GNB,Guinea-Bisáu,
pais_diot90,GUY,Guyana,
pais_diot91,HTI,Haití,
pais_diot92,HND,Honduras,
pais_diot93,HKG,Hong Kong,
pais_diot94,HUN,Hungría,
pais_diot95,IND,India,
pais_diot96,IDN,Indonesia,
pais_diot97,IRQ,Irak,
pais_diot98,IRN,Irán (la República Islámica de),
pais_diot99,IRL,Irlanda,
pais_diot100,BVT,Isla Bouvet,
pais_diot101,IMN,Isla de Man,
pais_diot102,CXR,Isla de Navidad,
pais_diot103,HMD,Isla Heard e Islas McDonald,
pais_diot104,NFK,Isla Norfolk,
pais_diot105,ISL,Islandia,
pais_diot106,ALA,Islas Aland,
pais_diot107,CYM,Islas Caimán (las),
pais_diot108,CCK,Islas Cocos (Keeling),
pais_diot109,COK,Islas Cook (las),
pais_diot110,UMI,"Islas de Ultramar Menores de Estados
Unidos (las)",
pais_diot111,FRO,Islas Feroe (las),
pais_diot112,FLK,Islas Malvinas [Falkland] (las),
pais_diot113,MNP,Islas Marianas del Norte (las),
pais_diot114,MHL,Islas Marshall (las),
pais_diot115,SLB,Islas Salomón (las),
pais_diot116,TCA,Islas Turcas y Caicos (las),
pais_diot117,VGB,Islas Vírgenes (Británicas),
pais_diot118,VIR,Islas Vírgenes (EE.UU.),
pais_diot119,ISR,Israel,
pais_diot120,ITA,Italia,
pais_diot121,JAM,Jamaica,
pais_diot122,JPN,Japón,
pais_diot123,JEY,Jersey,
pais_diot124,JOR,Jordania,
pais_diot125,KAZ,Kazajistán,
pais_diot126,KEN,Kenia,
pais_diot127,KGZ,Kirguistán,
pais_diot128,KIR,Kiribati,
pais_diot129,KWT,Kuwait,
pais_diot130,LAO,"Lao, (la) República Democrática Popular",
pais_diot131,LSO,Lesoto,
pais_diot132,LVA,Letonia,
pais_diot133,LBN,Líbano,
pais_diot134,LBR,Liberia,
pais_diot135,LBY,Libia,
pais_diot136,LIE,Liechtenstein,
pais_diot137,LTU,Lituania,
pais_diot138,LUX,Luxemburgo,
pais_diot139,MAC,Macao,
pais_diot140,MKD,"Macedonia (la antigua República
Yugoslava de)",
pais_diot141,MDG,Madagascar,
pais_diot142,MYS,Malasia,
pais_diot143,MWI,Malaui,
pais_diot144,MDV,Maldivas,
pais_diot145,MLI,Malí,
pais_diot146,MLT,Malta,
pais_diot147,MAR,Marruecos,
pais_diot148,MTQ,Martinica,
pais_diot149,MUS,Mauricio,
pais_diot150,MRT,Mauritania,
pais_diot151,MYT,Mayotte,
pais_diot152,FSM,Micronesia (los Estados Federados de),
pais_diot153,MDA,Moldavia (la República de),
pais_diot154,MCO,Mónaco,
pais_diot155,MNG,Mongolia,
pais_diot156,MNE,Montenegro,
pais_diot157,MSR,Montserrat,
pais_diot158,MOZ,Mozambique,
pais_diot159,MMR,Myanmar,
pais_diot160,NAM,Namibia,
pais_diot161,NRU,Nauru,
pais_diot162,NPL,Nepal,
pais_diot163,NIC,Nicaragua,
pais_diot164,NER,Níger (el),
pais_diot165,NGA,Nigeria,
pais_diot166,NIU,Niue,
pais_diot167,NOR,Noruega,
pais_diot168,NCL,Nueva Caledonia,
pais_diot169,NZL,Nueva Zelanda,
pais_diot170,OMN,Omán,
pais_diot171,ZZZ,Otro,
pais_diot172,NLD,Países Bajos (los),
pais_diot173,PAK,Pakistán,
pais_diot174,PLW,Palaos,
pais_diot175,PSE,"Palestina, Estado de",
pais_diot176,PAN,Panamá,
pais_diot177,PNG,Papúa Nueva Guinea,
pais_diot178,PRY,Paraguay,
pais_diot179,PER,Perú,
pais_diot180,PCN,Pitcairn,
pais_diot181,PYF,Polinesia Francesa,
pais_diot182,POL,Polonia,
pais_diot183,PRT,Portugal,
pais_diot184,PRI,Puerto Rico,
pais_diot185,GBR,Reino Unido (el),
pais_diot186,CAF,República Centroafricana (la),
pais_diot187,CZE,República Checa (la),
pais_diot188,DOM,República Dominicana (la),
pais_diot189,REU,Reunión,
pais_diot190,RWA,Ruanda,
pais_diot191,ROU,Rumania,
pais_diot192,RUS,"Rusia, (la) Federación de",
pais_diot193,ESH,Sahara Occidental,
pais_diot194,WSM,Samoa,
pais_diot195,ASM,Samoa Americana,
pais_diot196,BLM,San Bartolomé,
pais_diot197,KNA,San Cristóbal y Nieves,
pais_diot198,SMR,San Marino,
pais_diot199,MAF,San Martín (parte francesa),
pais_diot200,SPM,San Pedro y Miquelón,
pais_diot201,VCT,San Vicente y las Granadinas,
pais_diot202,SHN,"Santa Helena, Ascensión y Tristán de
Acuña",
pais_diot203,LCA,Santa Lucía,
pais_diot204,VAT,"Santa Sede[Estado de la Ciudad del
Vaticano] (la)",
pais_diot205,STP,Santo Tomé y Príncipe,
pais_diot206,SEN,Senegal,
pais_diot207,SRB,Serbia,
pais_diot208,SYC,Seychelles,
pais_diot209,SLE,Sierra leona,
pais_diot210,SGP,Singapur,
pais_diot211,SXM,Sint Maarten (parte holandesa),
pais_diot212,SYR,"Siria, (la) República Árabe",
pais_diot213,SOM,Somalia,
pais_diot214,LKA,Sri Lanka,
pais_diot215,SWZ,Suazilandia,
pais_diot216,ZAF,Sudáfrica,
pais_diot217,SDN,Sudán (el),
pais_diot218,SSD,Sudán del Sur,
pais_diot219,SWE,Suecia,
pais_diot220,CHE,Suiza,
pais_diot221,SUR,Surinam,
pais_diot251,SJM,Svalbard y Jan Mayen,
pais_diot223,THA,Tailandia,
pais_diot224,TWN,Taiwán (Provincia de China),
pais_diot225,TZA,"Tanzania, República Unida de",
pais_diot226,TJK,Tayikistán,
pais_diot227,IOT,Territorio Británico del Océano Índico (el),
pais_diot228,ATF,Territorios Australes Franceses (los),
pais_diot229,TLS,Timor-Leste,
pais_diot230,TGO,Togo,
pais_diot231,TKL,Tokelau,
pais_diot232,TON,Tonga,
pais_diot233,TTO,Trinidad y Tobago,
pais_diot234,TUN,Túnez,
pais_diot235,TKM,Turkmenistán,
pais_diot236,TUR,Turquía,
pais_diot237,TUV,Tuvalu,
pais_diot238,UKR,Ucrania,
pais_diot239,UGA,Uganda,
pais_diot240,URY,Uruguay,
pais_diot241,UZB,Uzbekistán,
pais_diot242,VUT,Vanuatu,
pais_diot243,VEN,"Venezuela, República Bolivariana de",
pais_diot244,VNM,Viet Nam,
pais_diot245,WLF,Wallis y Futuna,
pais_diot246,YEM,Yemen,
pais_diot247,DJI,Yibuti,
pais_diot248,ZMB,Zambia,
pais_diot249,ZWE,Zimbabue,
pais_diot250,ZZZ,Otro,
